r,theta,mu,nu,residual
1.520000000000000018e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157678521492626444e+01
1.500000000000000000e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157568486583058487e+01
1.560000000000000053e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157548529347437238e+01
1.540000000000000036e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157530759933034759e+01
1.489999999999999991e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157513792140556319e+01
1.510000000000000009e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157446220716001406e+01
1.540000000000000036e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157408006734251771e+01
1.489999999999999991e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157193769553583707e+01
1.520000000000000018e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157058688121265888e+01
1.489999999999999991e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.156844209621760200e+01
1.500000000000000000e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.156824975216108342e+01
1.570000000000000062e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.156563033281501518e+01
1.570000000000000062e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.156107818377403262e+01
1.530000000000000027e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.156068416211472538e+01
1.489999999999999991e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.155876639523923899e+01
1.530000000000000027e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.155664722456632632e+01
1.489999999999999991e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.155193425241014893e+01
1.580000000000000071e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.155126268256929123e+01
1.580000000000000071e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154960406480193669e+01
1.560000000000000053e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154769530431071445e+01
1.510000000000000009e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154721621443597357e+01
1.500000000000000000e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154690262086301900e+01
1.550000000000000044e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154517880308492650e+01
1.550000000000000044e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154278136957458756e+01
1.560000000000000053e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154262702916346939e+01
1.580000000000000071e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154209840350193517e+01
1.570000000000000062e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.154008096461655342e+01
1.479999999999999982e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153905356603125654e+01
1.510000000000000009e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153825368548636376e+01
1.479999999999999982e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153715079964538148e+01
1.500000000000000000e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153704961358632275e+01
